Monat;Normalisierte Werte
2009-01;63
2009-02;68
2009-03;68
2009-04;63
2009-05;59
2009-06;61
2009-07;63
2009-08;63
2009-09;68
2009-10;63
2009-11;61
2009-12;46
2010-01;63
2010-02;63
2010-03;68
2010-04;61
2010-05;59
2010-06;61
2010-07;61
2010-08;59
2010-09;68
2010-10;59
2010-11;59
2010-12;49
2011-01;68
2011-02;71
2011-03;68
2011-04;66
2011-05;66
2011-06;61
2011-07;63
2011-08;71
2011-09;73
2011-10;66
2011-11;68
2011-12;54
2012-01;73
2012-02;73
2012-03;73
2012-04;71
2012-05;68
2012-06;66
2012-07;73
2012-08;76
2012-09;78
2012-10;76
2012-11;73
2012-12;56
2013-01;78
2013-02;78
2013-03;73
2013-04;78
2013-05;71
2013-06;71
2013-07;61
2013-08;63
2013-09;65
2013-10;63
2013-11;80
2013-12;66
2014-01;88
2014-02;93
2014-03;93
2014-04;85
2014-05;83
2014-06;80
2014-07;88
2014-08;88
2014-09;98
2014-10;95
2014-11;88
2014-12;71
2015-01;93
2015-02;98
2015-03;95
2015-04;90
2015-05;83
2015-06;88
2015-07;85
2015-08;88
2015-09;93
2015-10;90
2015-11;90
2015-12;71
2016-01;93
2016-02;98
2016-03;90
2016-04;93
2016-05;80
2016-06;80
2016-07;80
2016-08;88
2016-09;98
2016-10;90
2016-11;90
2016-12;73
2017-01;95
2017-02;98
2017-03;93
2017-04;85
2017-05;83
2017-06;80
2017-07;83
2017-08;83
2017-09;90
2017-10;88
2017-11;88
2017-12;73
2018-01;100
2018-02;95
2018-03;95
2018-04;88
2018-05;83
2018-06;85
