Monat;Normalisierte Werte
2008-01;54
2008-02;54
2008-03;54
2008-04;54
2008-05;56
2008-06;61
2008-07;56
2008-08;54
2008-09;59
2008-10;58
2008-11;51
2008-12;49
2009-01;54
2009-02;53
2009-03;53
2009-04;69
2009-05;69
2009-06;75
2009-07;71
2009-08;75
2009-09;75
2009-10;81
2009-11;85
2009-12;81
2010-01;90
2010-02;93
2010-03;97
2010-04;93
2010-05;100
2010-06;100
2010-07;97
2010-08;93
2010-09;92
2010-10;93
2010-11;88
2010-12;85
2011-01;93
2011-02;92
2011-03;97
2011-04;90
2011-05;92
2011-06;95
2011-07;92
2011-08;98
2011-09;92
2011-10;90
2011-11;86
2011-12;80
2012-01;86
2012-02;83
2012-03;83
2012-04;81
2012-05;83
2012-06;81
2012-07;85
2012-08;83
2012-09;85
2012-10;85
2012-11;80
2012-12;75
2013-01;83
2013-02;81
2013-03;85
2013-04;83
2013-05;83
2013-06;85
2013-07;68
2013-08;66
2013-09;68
2013-10;68
2013-11;86
2013-12;80
2014-01;86
2014-02;85
2014-03;83
2014-04;85
2014-05;88
2014-06;83
2014-07;85
2014-08;81
2014-09;85
2014-10;86
2014-11;86
2014-12;80
2015-01;83
2015-02;81
2015-03;86
2015-04;81
2015-05;83
2015-06;83
2015-07;80
2015-08;81
2015-09;90
2015-10;86
2015-11;83
2015-12;76
2016-01;85
2016-02;80
2016-03;81
2016-04;88
2016-05;95
2016-06;93
2016-07;83
2016-08;81
2016-09;80
2016-10;83
2016-11;80
2016-12;78
2017-01;78
2017-02;75
2017-03;80
2017-04;78
2017-05;80
2017-06;76
2017-07;75
2017-08;81
2017-09;83
2017-10;98
2017-11;85
2017-12;80
2018-01;81
2018-02;78
2018-03;81
2018-04;76
2018-05;80
2018-06;80
